id,pytanie,ilustracja,odpa,odpb,odpc,odp,uzasadnienie,model
215,"Antena kierunkowa daje napięcie 4 razy większe, niż dipol półfalowy zawieszony w tym samym miejscu. Jaki zysk ma antena kierunkowa?",,6 dBd,4 dBd,12 dBd,c,"<p>Zysk anteny, wyrażony w decybelach (dB), jest zdefiniowany jako 20 log (V1/V2), gdzie V1 to napięcie wyjściowe anteny kierunkowej, a V2 to napięcie wyjściowe dipola półfalowego.</p> <p>W przypadku pytania, V1 jest 4 razy większe niż V2, dlatego zysk anteny oblicza się jako 20 log(4). Ten wynik po przeliczeniu daje nam zysk w decybelach.</p> <pre><code class=""language-python"">import math<br /><br />V1_V2_ratio = 4  # V1 jest 4 razy większe niż V2<br /><br /># Obliczenie zysku anteny<br />antenna_gain_dB = 20 * math.log10(V1_V2_ratio)<br />antenna_gain_dB </code></pre> <pre><code class=""language-python"">12.041199826559248 </code></pre> <p>Zysk anteny wynosi około 12 dB. Odpowiedzią w tym przypadku jest więc opcja c, czyli 12 dBd. Wybrałem tą odpowiedź, ponając, że zdobycie napięcia 4 razy większego w skali logarytmicznej oznacza zysk o 20 log(4), co wynosi około 12 dB.</p>",gpt-4
216,"Kabel koncentryczny o długości 100m, przy częstotliwości 144MHz wprowadza tłumienie 12dB. Długość kabla pomiędzy nadajnikiem 100 W a anteną wynosi 50 m. Jaka część tej mocy zostanie doprowadzona do anteny?",,25%,50%,75%,,"<p>Według danych z pytania, kabel koncentryczny o długości 100m wprowadza tłumienie 12dB.</p> <p>Zatem tłumienie na 50m, które jest długością kabla pomiędzy nadajnikiem a anteną, wynosi 6dB (znając tłumienie na długość 100m możemy go proporcjonalnie obniżyć dla 50m).</p> <p>Tłumienie na długości 50m wynosi 6dB, co oznacza, że na antenę trafia jedynie 25% mocy. Jest to wynikiem działania logarytmicznego charakteru decybeli. Dla przypomnienia, 3dB oznacza mocy o połowie mniej, a 6dB oznacza jedną czwartą początkowej mocy.</p> <p>Zatem, odpowiedzią jest &quot;25%&quot; (pozycja a).</p>",gpt-4
217,Jakie długości fal zaliczamy do zakresu fal krótkich?,,od 100 m do 10 m,od 80 m do 10 m,od 160 m do 10 m,a,"<p>Wybralbym odpowiedź c. &quot;od 160 m do 10 m&quot;. Wydaje mi się, że falami krótkimi określa się te, których długość jest w zakresie od około 10 m do 160 m. Wszystko zalezy od systemu zastosowanego w radiotechnice, ale wydaje mi się, że ta wartość jest najbardziej prawidłowa.</p>",gpt-4
218,"Propagacja jonosferyczna latem, w dzień, pasma radioamatorskiego 20 m, najczęściej odbywa się przez odbicie od warstwy:",,D,E,F,,"<p>Odpowiedź to c. F.</p> <p>Warstwa F jonosfery jest najwyższą warstwą i jest obecna przez cały dzień. Dzięki temu, że jest najwyżej, pozwala na długodystansową propagację fali, faszerowaną na wielu długościach fal, w tym na opaskach HF (High Frequency), służących do komunikacji radiowej na długie odległości. Długofalowe bandy radiowe (20m) są szczególnie dobrze dopasowane do tej warstwy. Warstwy D i E są niżej i są obecne tylko w ciągu dnia, dzięki czemu są mniej skuteczne w propagacji długodystansowej.</p>",gpt-4
219,O czym mówi podawana w prognozach propagacji częstotliwość MUF?,,o zakłóceniach odbioru,o maksymalnej częstotliwości do łączności na danej trasie,o zaniku łączności w danym kierunku,b,"<p>Odpowiedź b. MUF (Maximum Usable Frequency) to maksymalna częstotliwość, która może być używana do łączności radiowej na danej trasie przy określonym kącie odbicia od jonosfery. Pojemność MUF jest ważna dla operatorów radiowych, ponieważ mówi o tym, jakie częstotliwości są najbardziej skuteczne do komunikacji w danym czasie i na określonej trasie.</p>",gpt-4
220,Co to jest strefa martwa na falach krótkich?,,strefa bez odbioru leżąca pomiędzy końcem fali przyziemnej a powrotem fali odbitej od jonosfery,strefa bez odbioru z powodu dużych zakłóceń w mieście,strefa w której brak odbioru z powodu interferencji fal przychodzących z różnych kierunków,a,"<p>Odpowiedź a. strefa bez odbioru leżąca pomiędzy końcem fali przyziemnej a powrotem fali odbitej od jonosfery</p> <p>Strefa martwa na falach krótkich to obszar, w którym sygnały nie są odbierane z powodu specyfiki propagacji fal krótkich. Fale krótkie są zdolne do dalekosiężnej komunikacji dzięki odbiciu od jonosfery. Jednak jest obszar pomiędzy końcem zasięgu fali przyziemnej a początkiem zasięgu fali odbitej od jonosfery, gdzie sygnał nie może być odbierany. Ten obszar jest nazywany strefą martwą.</p>",gpt-4
221,Jakim przyrządem możemy sprawdzić kształt napięcia zmiennego w.cz. i wykryć zniekształcenia sygnału?,,oscyloskopem,miernikiem napięcia,słuchając odbiornikiem,a,"<p>Odpowiedź to a. oscyloskopem.</p> <p>Oscyloskop jest przyrządem, który umożliwia obserwację zmieniających się z upływem czasu sygnałów elektrycznych. Jest to jedno z najważniejszych narzędzi diagnostycznych w elektronice. Pozwala nam na sprawdzenie kształtu napięcia zmiennego w.cz. i jest w stanie wykryć zniekształcenia sygnału. Przy pomocy oscyloskopu możemy zobaczyć na ekranie formę falową sygnału, co pozwala nam na ocenę jego jakości.</p> <p>Natomiast miernik napięcia służy do mierzenia napięcia, a nie do analizy kształtu fali czy wykrywania zniekształceń. Odbiornik radiowy, chociaż pozwala nam &quot;słuchać&quot; sygnału, nie daje nam możliwości wizualnej analizy kształtu fali czy wykrycia zniekształceń sygnału.</p>",gpt-4
222,"Akumulator ma pojemność 20Ah i pozwala na pracę pełną mocą radiostacji, która pobiera średnio około 5A. Czy taki akumulator wystarczy na trzygodzinną pracę tej radiostacji?",,"wystarczy, z pewnym zapasem","nie wystarczy, akumulator ma zbyt małą pojemność",akumulator ulegnie uszkodzeniu,a,"<pre><code class=""language-python""># Pojemność akumulatora (Ah) / Prąd pobierany przez radiostacje (A) = czas pracy (h)<br />capacity = 20 # Ah<br />current = 5 # A<br /><br /># Obliczmy czas pracy<br />working_time = capacity / current<br />working_time </code></pre> <pre><code class=""language-python"">4.0 </code></pre> <p>Odpowiedź: a. wystarczy, z pewnym zapasem</p> <p>Wybrałem tę odpowiedź ponieważ obliczony czas pracy radiostacji z użyciem danego akumulatora wynosi 4 godziny, co jest większe niż 3 godziny.</p>",gpt-4
223,Jakie typowo przyjmuje się pasmo częstotliwości przy transmisjach głosowych na pasmach amatorskich:,,od 300 Hz do 3 kHz,od 20 Hz do 20 kHz,od 400 Hz do 900 Hz,a,"<p>Odpowiedź a. od 300 Hz do 3 kHz</p> <p>Wybieram tę odpowiedź, ponieważ przekaz głosowy w systemach radiowych typowo wykorzystuje pasmo częstotliwości od 300 Hz do 3 kHz. Wybór tego zakresu częstotliwości pochodzi od naturalnego zakresu częstotliwości, które mogą być wyprodukowane przez ludzki głos. Oprócz tego, restrykcje techniczne stosowane w radiokomunikacji wymagają ograniczenia zakresu przekazywanych częstotliwości. Jest to powszechnie przyjmowany standard w radiokomunikacji.</p> <p>Zaś odpowiedź b. od 20 Hz do 20 kHz, jest zbyt szeroka i pokrywa cały zakres słyszalnych dla człowieka dźwięków, co nie jest typowe dla transmisji radiowych, a odpowiedź c. od 400 Hz do 900 Hz, jest zbyt wąska i nie obejmuje pełnego zakresu dźwięków generowanych przez ludzki głos.</p>",gpt-4
224,Dlaczego modulacja amplitudy AM (A3E) jest obecnie rzadziej używana od SSB (J3E)?,,gdyż ma znacznie mniejszą sprawność energetyczną i szerokość emitowanego sygnału jest dwukrotnie większa niż SSB,"gdyż obecne transceivery są zbyt skomplikowane, by z niej sprawnie korzystać","dlatego, że AM jest używana w profesjonalnej radiofonii",a,"<p>a. gdyż ma znacznie mniejszą sprawność energetyczną i szerokość emitowanego sygnału jest dwukrotnie większa niż SSB</p> <p>To odpowiedź jest zarówno technicznie poprawna, jak i maksymalnie odzwierciedla rzeczywistość. Modulacje AM zużywają więcej mocy do transmisji sygnału w porównaniu do SSB, co czyni je mniej energetycznie wydajnymi. Ponadto, modulacja amplitudy AM emituje dwukrotnie szersze sygnały w porównaniu do SSB, co czyni je mniej idealnymi dla ograniczonych pasm częstotliwości.</p>",gpt-4
225,Najważniejsza z cech rezonatora kwarcowego to:,,stabilność częstotliwości,odporność na wysokie napięcie,odporność na wibracje,a,"<p>Odpowiedź a. Najważniejszą cechą rezonatora kwarcowego jest stabilność częstotliwości, która wynika z naturalnych właściwości kwarcu.</p>",gpt-4
226,"Wzmacniacz, który wzmacnia sygnały w zakresie pasm amatorskich 3,5, 7 i 14 MHz z takim samym wzmocnieniem nazywamy:",,wzmacniaczem mocy,wzmacniaczem szerokopasmowym,wzmacniaczem ze strojonymi obwodami pośredniej częstotliwości,b,"<p>Wybrana odpowiedź to b. wzmacniaczem szerokopasmowym.</p> <p>Wzmacniacz szerokopasmowy jest urządzeniem, które może wzmacniać sygnały o różnych częstotliwościach z takim samym wzmocnieniem. W tym przypadku, skoro musi wzmacniać sygnały w pasmach 3,5, 7 i 14 MHz z takim samym wzmocnieniem, musi być to wzmacniacz szerokopasmowy. Wzmacniacze mocy i wzmacniacze ze strojonymi obwodami pośredniej częstotliwości nie pasują do tego zapotrzebowania.</p>",gpt-4
227,Wzmacniacz w klasie C nie może być używany do:,,"fali nośnej, sygnałów modulacji częstotliwości",sygnałów jednowstęgowych (J3E),"może być używany wszędzie, gdyż ma wyższą sprawność",,"<p>Odpowiedź b. sygnałów jednowstębowych (J3E)</p> <p>Wzmacniacze w klasie C są znane ze swojej wysokiej sprawności, ale mają jedną istotną wadę - nie są liniowe. To oznacza, że nie są w stanie wiernie wzmacniać sygnałów AM (amplitudy modulowanej) lub SSB (pojedynczej strony pasma - w tym J3E), które wymagają liniowej odpowiedzi. Z tego powodu, nie mogą być używane do sygnałów J3E.</p>",gpt-4
228,Generator BFO jest niezbędny do odbioru:,,sygnałów modulacji częstotliwości (F3E),sygnałów modulacji amplitudy z pełną falą nośną (A3E),sygnałów telegraficznych (A1) i modulacji amplitudy ze zredukowaną falą nośną,c,"<p>c. sygnałów telegraficznych (A1) i modulacji amplitudy ze zredukowaną falą nośną</p> <p>Generator BFO (Beat Frequency Oscillator) jest urządzeniem, które generuje sygnał o stałej częstotliwości. Jest niezbędny do odbioru sygnałów, które są modulowane w amplitudzie, ale mają zredukowaną falę nośną - proces ten nazywany jest demodulacją. Generator BFO jest również używany do odbioru sygnałów telegraficznych, które są modulowane na fali nośnej. Ważne jest podkreślenie, że sygnały FM i AM z pełną falą nośną są modulowane inaczej i do ich odbioru nie jest potrzebny generator BFO.</p>",gpt-4
229,Który z czynników wpływa na stabilność generatora z obwodem LC:,,temperatura,zmiana wymiarów mechanicznych,oba wyżej wymienione,,"<p>Odpowiedź to c. oba wyżej wymienione.</p> <p>Stabilność generatora z obwodem LC jest podyktowana przez różne czynniki włączając temperaturę i zmiany mechaniczne. Na przykład, temperatura może wpływać na elementy obwodu, takie jak elementy rezystancyjne, które mogą zmieniać swoją wartość wraz ze zmianą temperatury. Podobnie, zmiany mechaniczne, takie jak zmiany wymiarów rdzenia cewki, mogą wpłynąć na wartość indukcyjności cewki, co z kolei wpływa na stabilność generatora.</p>",gpt-4
230,Na wyświetlaczu radiostacji z prezentacją widma można obserwować:,,częstotliwość i amplitudę sygnału,amplitudę i fazę sygnału,częstotliwość i opóźnienie,a,"<p>Odpowiedź to a. częstotliwość i amplitudę sygnału.</p> <p>Wyświetlacz radiostacji z prezentacją widma, inaczej zwany spektrografem, pokazuje spektrum częstotliwości dla danego sygnału radiowego. Można na nim zobaczyć jak rozkłada się energia sygnału w zależności od częstotliwości - prezentowane jest to za pomocą amplitudy na wykresie. Oznacza to, że widzuje się jak silny jest sygnał na danej częstotliwości. Faza sygnału natomiast nie jest reprezentowana na takim wykresie, ponieważ jest to parametr trudny do przedstawienia w czytelny sposób, a także nie zawsze relatywnie istotny dla radiooperatorów.</p>",gpt-4
231,"Początkujący krótkofalowiec sfrustrował się brakiem stacji w paśmie 24 MHz. Opiekun radiostacji klubowej zalecił mu przejście na ""niższe"" pasmo. Które pasmo powinien wybrać? ",,"10 m ","12 m ",20 m,,"<p>b. 12 m</p> <p>Pasmo 24 MHz odpowiada długości fali 12 m. W kontekście pasm radioowych, &quot;niższe&quot; pasmo oznaczać będzie wyższą częstotliwość. Częstotliwość i długość fali są odwrotnie proporcjonalne, więc jeśli chcemy &quot;przejść niżej&quot;, powinniśmy wybrać pasmo z niższą długością fali.</p> <p>Długość fali dla pasma 10 m wynosi 30 MHz, dla pasma 12 m wynosi 24 MHz (obecne pasmo), a dla pasma 20 m wynosi 14 MHz. Zatem, aby przejść na &quot;niższe&quot; pasmo, powinniśmy wybrać pasmo 10 m.</p>",gpt-4
232,Prędkość rozchodzenia się fali elektromagnetycznej w ośrodku innym niż próżnia jest:,,mniejsza niż w próżni,większa niż w próżni,"mniejsza lub większa niż w próżni, zależnie od rodzaju ośrodka",a,"<p>Odpowiedź: a. mniejsza niż w próżni</p> <p>Wybrane stanowisko wynika z faktu, że prędkość rozchodzenia fali elektromagnetycznej w próżni jest największa możliwa (wartość to około 299 792 km/s) i żaden inny ośrodek nie może przekroczyć tej prędkości. W rzeczywistości, prędkość rozchodzenia fali elektromagnetycznej w dowolnym innym ośrodku (powietrze, woda, szkło etc.) jest zawsze mniejsza niż w próżni. Jest to spowodowane zjawiskiem refrakcji (zginania fali), które jest związane z przechodzeniem fali przez różne ośrodki.</p>",gpt-4
233,"Jeżeli składowa elektryczna fali jest prostopadła do ziemi, to fala ma polaryzację:",,poziomą,pionową,nie da się tego stwierdzić bez znajomości ułożenia składowej magnetycznej,b,"<p>b. pionową</p> <p>Wybrałem tę odpowiedź, ponieważ polaryzacja fali elektromagnetycznej jest zdefiniowana jako kierunek, w którym oscyluje jej składowa elektryczna. Jeżeli składowa elektryczna fali jest prostopadła do ziemi, fala jest zatem polaryzowana pionowo.</p>",gpt-4
234,Napięcie międzyszczytowe sinusoidalnego napięcia zmiennego wynosi 678 V. Ile wynosi wartość skuteczna tego napięcia?,,339 V,240 V,481 V,b,"<p>Wartość skuteczna napięcia zmiennego sinusoidalnego wynosi napięcie międzyszczytowe podzielone przez pierwiastek z 2. Możemy to obliczyć używając następującego wzoru:</p> <p>V_sk = V_peak / sqrt(2)</p> <p>gdzie: V_sk - wartość skuteczna V_peak - napięcie międzyszczytowe</p> <p>Podstawiamy do wzoru wartość napięcia międzyszczytowego, która wynosi 678 V i obliczamy wartość skuteczną.</p> <pre><code class=""language-python"">import math <br /> <br />V_peak = 678  <br />V_sk = V_peak / math.sqrt(2) <br /> <br />V_sk </code></pre> <pre><code class=""language-python"">479.41839764447917 </code></pre> <p>Wartość skuteczna tego napięcia wynosi około 479 V.</p> <p>Najbliższą wartością z podanych odpowiedzi jest 481 V, więc wybieram odpowiedź c. Chociaż obliczona wartość nie jest dokładnie taka sama, to w testach jednokrotnego wyboru musimy wybrać najbliższą opcję. Różnica wynika prawdopodobnie z zaokrąglenia wartości w pytaniu.</p>",gpt-4
235,"Częstotliwość prądu przemiennego wynosi 50 Hz, jaki jest okres drgań?",,20 ms,50 ms,500 ms,a,"<p>Okres jest odwrotnością częstotliwości. Możemy to policzyć używając formuły T = 1/f, gdzie f to częstotliwość, a T to okres.</p> <p>Niech f = 50 Hz, wtedy T = 1/50 s.</p> <p>Musimy pamiętać, że 1 s = 1000 ms, więc do przeliczenia wartości T na milisekundy musimy pomnożyć ją przez 1000.</p> <p>Spróbujmy policzyć to.</p> <pre><code class=""language-python"">f = 50  # frequency in Hz<br />T_s = 1 / f  # period in seconds<br /><br /># convert period from seconds to milliseconds<br />T_ms = T_s * 1000<br />T_ms </code></pre> <pre><code class=""language-python"">20.0 </code></pre> <p>Okres drgań wynosi 20 ms. Wybrałem odpowiedź &quot;a&quot; na podstawie obliczeń, według których T = 1 / f, gdzie T to okres a f to częstotliwość, jest równy 20 ms. Co oznacza, że prąd przemienny zmienia kierunek 50 razy na sekundę, co daje nam okres zmienności równy 20 milisekund.</p>",gpt-4
236,Sygnał prostokątny o idealnie ostrych zboczach zajmuje pasmo o szerokości:,,dziesięciokrotności częstotliwości sygnału wejściowego.,zerowej.,nieskończonej,,"<p>Odpowiedź c. nieskończonej</p> <p>Idealnie ostry sygnał prostokątny zawiera składniki harmoniczne o nieskończenie wysokich częstotliwościach, dlatego zajmuje nieskończone pasmo. W praktyce, sygnały prostokątne są ograniczone przez pasma transmisji, a ich zbocza nie są idealnie ostre. Jednak teoretycznie, dla idealnego sygnału prostokątnego, pasmo jest nieskończone.</p>",gpt-4
237,"W zbudowanym wzmacniaczu m.cz. słychać dokuczliwe zakłócenia od pobliskich telefonów komórkowych. Co można zrobić, by te zakłócenia zmniejszyć:",,"nic nie można zrobić, zakłócenia już takie są",zaekranować stopień wejściowy tego wzmacniacza,"zwiększyć napięcie zasilania, by stosunek sygnał/zakłócenia był korzystniejszy",b,"<p>Wybieram odpowiedź b. &quot;Zaekranować stopień wejściowy tego wzmacniacza&quot;. Ekranowanie stopnia wejściowego wzmacniacza pomoże zredukować wpływ zakłóceń zewnętrznych, takich jak te pochodzące od telefonów komórkowych. To dlatego, że ekranowanie blokuje lub ogranicza dostęp fali elektromagnetycznej do wewnętrznych elementów układu. Z tego powodu, wybiórcza filtracja sygnałów zestawionych na częstotliwości telefonii komórkowej będzie mniej problematyczna. Zmiana napięcie zasilania (odpowiedź c) nie wpłynie na redukcję zakłóceń, a stwierdzenie, że &quot;nic nie można zrobić&quot; (odpowiedź a) jest błędne, ponieważ istnieją różne strategie zarządzania zakłóceniami w systemach radiowych.</p>",gpt-4
